T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição
281064641,1484,1677,0,0,15.574797454
281066641,1524,1770,0,0,15.574797454
281068641,1538,1743,0,0,15.574797454
281070641,1501,1789,0,0,15.574797454
281072641,1487,1644,0,0,15.574797454
281074641,1515,1758,0,0,15.574797454
281076641,1569,1640,0,0,15.574797454
281078641,1494,1760,0,0,15.574797454
281080641,1533,1734,0,0,15.574797454
281082641,1547,1798,0,0,15.574797454
281084641,1491,1733,0,0,15.574676799
281086641,1621,1713,0,0,15.574387229
281088641,1555,1787,0,0,15.574194182
281090641,1526,1683,0,0,15.574194182
281092641,1575,1761,0,0,15.574194182
281094641,1552,1705,0,0,15.574194182
281096641,1600,1680,0,0,15.574239708
281098641,1678,1717,0,0,15.574512864
281100641,1531,1655,0,0,15.574776359
281102641,1548,1707,0,0,15.574933573
281104641,1545,1771,0,0,15.575090787
281106641,1537,1653,0,0,15.574933573
281108641,1615,1680,0,0,15.574776359
281110641,1628,1632,0,0,15.574763258
281112641,1645,1705,0,0,15.574763258
281114641,1560,1664,0,0,15.574763258
281116641,1531,1801,0,0,15.574763258
281118641,1496,1761,0,0,15.575163412
281120641,1586,1687,0,0,15.575696951
281122641,1613,1594,0,0,15.575874798
281124641,1552,1666,0,0,15.575874798
281126641,1483,1768,0,0,15.575874798
281128641,1547,1754,0,0,15.575874798
281130641,1484,1753,0,0,15.576507127
281132641,1593,1813,0,0,15.577771785
281134641,1530,1684,0,0,15.578509502
281136641,1464,1743,0,0,15.578509502
281138641,1624,1691,0,0,15.578509502
281140641,1568,1638,0,0,15.578509502
281142641,1589,1632,0,0,15.578509502
281144641,1589,1820,0,0,15.578509502
281146641,1581,1754,0,0,15.578509502
281148641,1473,1563,0,0,15.578509502
281150641,1605,1743,0,0,15.578523671
281152641,1550,1755,0,0,15.578693697
281154641,1406,1746,0,0,15.578863723
281156641,1589,1739,0,0,15.578863723
281158641,1665,1781,0,0,15.578863723
281160641,1480,1641,0,0,15.578999689
281162641,1508,1604,0,0,15.579148015
281164641,1629,1768,0,0,15.579199874
281166641,1572,1642,0,0,15.579232439
281168641,1560,1736,0,0,15.579566465
281170641,1540,1622,0,0,15.580000979
281172641,1645,1667,0,0,15.58042436
281174641,1444,1733,0,0,15.580842174
281176641,1561,1696,0,0,15.581276154
281178641,1523,1757,0,0,15.581721681
281180641,1616,1692,0,0,15.582823271
281182641,1447,1731,0,0,15.584580924
