T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
279818641,1530,1615,0,0
279820641,1620,1665,0,0
279822641,1581,1694,0,0
279824641,1579,1744,0,0
279826641,1540,1554,0,0
279828641,1552,1692,0,0
279830641,1589,1585,0,0
279832641,1555,1613,0,0
279834641,1569,1685,0,0
279836641,1617,1694,0,0
279838641,1599,1760,0,0
279840641,1481,1739,0,0
279842641,1561,1649,0,0
279844641,1457,1691,0,0
279846641,1432,1671,0,0
279848641,1579,1717,0,0
279850641,1585,1687,0,0
279852641,1610,1668,0,0
279854641,1591,1606,0,0
279856641,1589,1625,0,0
279858641,1477,1615,0,0
279860641,1551,1769,0,0
279862641,1562,1730,0,0
279864641,1620,1685,0,0
279866641,1665,1700,0,0
279868641,1523,1668,0,0
279870641,1499,1799,0,0
279872641,1523,1730,0,0
279874641,1542,1637,0,0
279876641,1461,1794,0,0
279878641,1591,1625,0,0
279880641,1538,1581,0,0
279882641,1535,1718,0,0
279884641,1632,1665,0,0
279886641,1510,1664,0,0
279888641,1553,1757,0,0
279890641,1572,1665,0,0
279892641,1600,1704,0,0
279894641,1651,1831,0,0
279896641,1665,1692,0,0
279898641,1640,1722,0,0
279900641,1589,1683,0,0
279902641,1563,1581,0,0
279904641,1614,1758,0,0
279906641,1561,1695,0,0
279908641,1545,1730,0,0
279910641,1509,1684,0,0
279912641,1569,1692,0,0
279914641,1575,1579,0,0
279916641,1577,1700,0,0
279918641,1666,1723,0,0
279920641,1597,1770,0,0
279922641,1548,1576,0,0
279924641,1512,1632,0,0
279926641,1581,1527,0,0
279928641,1564,1798,0,0
279930641,1569,1717,0,0
279932641,1616,1591,0,0
279934641,1629,1717,0,0
279936641,1602,1709,0,0
279938641,1544,1717,0,0
279940641,1489,1758,0,0
279942641,1512,1643,0,0
279944641,1626,1582,0,0
279946641,1622,1815,0,0
279948641,1589,1598,0,0
279950641,1454,1577,0,0
279952641,1462,1651,0,0
279954641,1633,1564,0,0
279956641,1623,1730,0,0
279958641,1555,1683,0,0
279960641,1525,1678,0,0
