T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
349090555,1512,1705,0,0
349092555,1510,1704,0,0
349094555,1508,1714,0,0
349096555,1512,1705,0,0
349098555,1512,1697,0,0
349100555,1514,1702,0,0
349102555,1509,1710,0,0
349104555,1512,1694,0,0
349106555,1508,1703,0,0
349108555,1512,1702,0,0
349110555,1512,1700,0,0
349112555,1512,1706,0,0
349114555,1512,1705,0,0
349116555,1510,1713,0,0
349118555,1515,1701,0,0
349120555,1512,1709,0,0
349122555,1512,1709,0,0
349124555,1505,1709,0,0
349126555,1512,1704,0,0
349128555,1512,1705,0,0
349130555,1512,1701,0,0
349132555,1505,1706,0,0
349134555,1513,1716,0,0
349136555,1512,1699,0,0
349138555,1512,1701,0,0
349140555,1513,1700,0,0
349142555,1512,1710,0,0
349144555,1512,1709,0,0
349146555,1512,1704,0,0
349148555,1512,1707,0,0
349150555,1512,1705,0,0
349152555,1512,1709,0,0
349154555,1512,1704,0,0
349156555,1512,1696,0,0
349158555,1508,1700,0,0
349160555,1512,1707,0,0
349162555,1512,1706,0,0
349164555,1508,1705,0,0
349166555,1510,1709,0,0
349168555,1508,1706,0,0
349170555,1511,1693,0,0
349172555,1513,1702,0,0
349174555,1512,1702,0,0
349176555,1513,1697,0,0
349178555,1512,1705,0,0
349180555,1510,1709,0,0
349182555,1516,1705,0,0
349184555,1508,1697,0,0
349186555,1508,1709,0,0
349188555,1512,1701,0,0
349190555,1510,1705,0,0
349192555,1512,1705,0,0
349194555,1508,1704,0,0
349196555,1511,1705,0,0
349198555,1511,1709,0,0
349200555,1512,1703,0,0
349202555,1513,1697,0,0
349204555,1512,1706,0,0
349206555,1507,1709,0,0
349208555,1509,1709,0,0
349210555,1505,1706,0,0
349212555,1508,1702,0,0
349214555,1510,1702,0,0
349216555,1510,1702,0,0
349218555,1511,1707,0,0
349220555,1512,1706,0,0
349222555,1513,1701,0,0
349224555,1512,1701,0,0
349226555,1512,1706,0,0
349228555,1511,1703,0,0
349230555,1512,1701,0,0
349232555,1510,1704,0,0
349234555,1512,1713,0,0
349236555,1510,1706,0,0
349238555,1510,1702,0,0
349240555,1512,1702,0,0
349242555,1512,1709,0,0
349244555,1511,1703,0,0
349246555,1512,1705,0,0
349248555,1512,1701,0,0
349250555,1512,1701,0,0
349252555,1512,1706,0,0
349254555,1512,1701,0,0
349256555,1513,1709,0,0
349258555,1517,1705,0,0
349260555,1512,1705,0,0
349262555,1513,1709,0,0
349264555,1504,1695,0,0
349266555,1510,1709,0,0
349268555,1511,1707,0,0
349270555,1512,1707,0,0
349272555,1512,1707,0,0
349274555,1512,1700,0,0
349276555,1512,1706,0,0
349278555,1511,1706,0,0
349280555,1510,1699,0,0
349282555,1512,1701,0,0
349284555,1512,1703,0,0
349286555,1512,1702,0,0
349288555,1508,1713,0,0
349290555,1512,1712,0,0
349292555,1512,1704,0,0
349294555,1510,1704,0,0
349296555,1512,1709,0,0
349298555,1508,1710,0,0
349300555,1512,1706,0,0
349302555,1512,1713,0,0
349304555,1512,1705,0,0
349306555,1508,1712,0,0
349308555,1508,1709,0,0
349310555,1511,1709,0,0
349312555,1508,1709,0,0
349314555,1510,1713,0,0
349316555,1508,1701,0,0
349318555,1512,1702,0,0
349320555,1513,1708,0,0
349322555,1508,1705,0,0
349324555,1512,1708,0,0
349326555,1505,1709,0,0
349328555,1512,1702,0,0
349330555,1512,1707,0,0
349332555,1512,1701,0,0
349334555,1508,1710,0,0
349336555,1509,1709,0,0
349338555,1508,1701,0,0
349340555,1510,1702,0,0
349342555,1512,1702,0,0
349344555,1512,1704,0,0
349346555,1512,1696,0,0
349348555,1510,1704,0,0
349350555,1515,1710,0,0
349352555,1512,1696,0,0
349354555,1510,1704,0,0
349356555,1510,1705,0,0
349358555,1512,1709,0,0
349360555,1507,1703,0,0
349362555,1512,1709,0,0
349364555,1509,1705,0,0
349366555,1512,1701,0,0
349368555,1512,1697,0,0
349370555,1513,1704,0,0
349372555,1513,1703,0,0
349374555,1512,1714,0,0
349376555,1512,1706,0,0
349378555,1512,1704,0,0
349380555,1509,1704,0,0
349382555,1503,1706,0,0
349384555,1512,1697,0,0
349386555,1512,1709,0,0
349388555,1512,1705,0,0
349390555,1515,1702,0,0
349392555,1508,1708,0,0
349394555,1515,1697,0,0
349396555,1508,1708,0,0
349398555,1512,1703,0,0
349400555,1512,1700,0,0
349402555,1511,1709,0,0
349404555,1512,1702,0,0
349406555,1508,1706,0,0
349408555,1515,1701,0,0
349410555,1513,1707,0,0
349412555,1512,1706,0,0
349414555,1507,1705,0,0
349416555,1508,1697,0,0
349418555,1512,1707,0,0
349420555,1509,1697,0,0
349422555,1514,1709,0,0
349424555,1512,1706,0,0
349426555,1512,1706,0,0
349428555,1513,1697,0,0
349430555,1512,1706,0,0
349432555,1512,1701,0,0
349434555,1511,1709,255,1
349436555,1500,1665,255,1
349438555,1487,1624,255,1
349440555,1473,1582,255,1
349442555,1459,1541,255,1
349444555,1448,1497,255,1
349446555,1432,1463,255,1
349448555,1426,1428,255,1
349450555,1410,1409,255,1
349452555,1403,1360,255,1
349454555,1388,1326,255,1
349456555,1371,1308,255,1
349458555,1371,1278,255,1
349460555,1359,1262,255,1
349462555,1359,1245,255,1
349464555,1345,1219,255,1
349466555,1344,1205,255,1
349468555,1333,1179,255,1
349470555,1333,1171,255,1
349472555,1327,1158,255,1
349474555,1326,1143,255,1
349476555,1319,1133,255,1
349478555,1318,1119,255,1
349480555,1316,1112,255,1
349482555,1308,1104,255,1
349484555,1304,1101,255,1
349486555,1302,1091,255,1
349488555,1300,1081,255,1
349490555,1304,1075,255,1
349492555,1300,1075,255,1
349494555,1292,1069,255,1
349496555,1294,1069,255,1
349498555,1292,1051,255,1
349500555,1292,1051,255,1
349502555,1289,1049,255,1
349504555,1289,1044,255,1
349506555,1285,1047,255,1
349508555,1284,1042,255,1
349510555,1284,1043,255,1
349512555,1282,1036,255,1
349514555,1279,1037,255,1
349516555,1281,1028,255,1
349518555,1281,1033,255,1
349520555,1280,1026,255,1
349522555,1281,1023,255,1
349524555,1279,1026,255,1
349526555,1282,1026,255,1
349528555,1280,1016,255,1
349530555,1276,1016,255,1
349532555,1275,1013,255,1
349534555,1273,1025,255,1
349536555,1276,1025,255,1
349538555,1273,1021,255,1
349540555,1280,1013,255,1
349542555,1281,1018,255,1
349544555,1269,1012,255,1
349546555,1275,1015,255,1
349548555,1280,1019,255,1
349550555,1272,1010,255,1
349552555,1273,1020,255,1
349554555,1274,1022,255,1
349556555,1275,1019,255,1
349558555,1270,1012,255,1
349560555,1273,1023,255,1
349562555,1274,1015,255,1
349564555,1278,1014,255,1
349566555,1275,1015,255,1
349568555,1274,1015,255,1
349570555,1276,1012,255,1
349572555,1272,1022,255,1
349574555,1275,1019,255,1
349576555,1273,1013,255,1
349578555,1278,1015,255,1
349580555,1271,1011,255,1
349582555,1271,1015,255,1
349584555,1271,1013,0,1
349586555,1291,1072,0,1
349588555,1310,1119,0,1
349590555,1326,1162,0,1
349592555,1340,1207,0,1
349594555,1357,1248,0,1
349596555,1368,1292,0,1
349598555,1388,1325,0,1
349600555,1389,1351,0,1
349602555,1408,1389,0,1
349604555,1410,1410,0,1
349606555,1423,1436,0,1
349608555,1430,1462,0,1
349610555,1436,1478,0,1
349612555,1445,1499,0,1
349614555,1447,1518,0,1
349616555,1459,1538,0,1
349618555,1458,1550,0,1
349620555,1466,1564,0,1
349622555,1467,1568,0,1
349624555,1472,1580,0,1
349626555,1474,1598,0,1
349628555,1476,1598,0,1
349630555,1478,1608,0,1
349632555,1484,1618,0,1
349634555,1480,1631,0,1
349636555,1487,1626,0,0
349638555,1491,1641,0,0
349640555,1489,1645,0,0
349642555,1494,1655,0,0
349644555,1498,1661,0,0
349646555,1499,1673,0,0
