T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
4003803258,1505,1692,0,0,14.026641414,11237.166666667,1,4.166666667,,
4003805258,1498,1692,0,0,14.022115117,11239.166666667,1,4.166666667,,
4003807258,1508,1692,0,0,14.01668356,11241.166666667,1,4.166666667,,
4003809258,1502,1696,0,0,14.011633826,11243.166666667,1,4.166666667,,
4003811258,1503,1693,0,0,14.006711367,11245.166666667,1,4.166666667,,
4003813258,1505,1693,0,0,13.990347576,11247.166666667,1,4.166666667,,
4003815258,1507,1697,0,0,13.968263119,11249.166666667,1,4.166666667,,
4003817258,1504,1699,0,0,13.933620733,11251.166666667,1,4.166666667,,
4003819258,1497,1697,0,0,13.890008396,11253.166666667,1,4.166666667,,
4003821258,1496,1692,0,0,13.859300359,11255.166666667,1,4.166666667,,
4003823258,1504,1692,0,0,13.841496624,11257.166666667,1,4.166666667,,
4003825258,1501,1689,0,0,13.820360269,11259.166666667,1,4.166666667,,
4003827258,1508,1701,0,0,13.794558249,11261.166666667,1,4.166666667,,
4003829258,1500,1693,0,0,13.777356902,11263.166666667,1,4.166666667,,
4003831258,1500,1686,0,0,13.777356902,11265.166666667,1,4.166666667,,
4003833258,1498,1687,0,0,13.776883331,11267.166666667,1,4.166666667,,
4003835258,1496,1696,0,0,13.774989046,11269.166666667,1,4.166666667,,
4003837258,1503,1696,0,0,13.773410475,11271.166666667,1,4.166666667,,
4003839258,1500,1692,0,0,13.773410475,11273.166666667,1,4.166666667,,
4003841258,1501,1693,0,0,13.773568332,11275.166666667,1,4.166666667,,
4003843258,1498,1697,0,0,13.775462617,11277.166666667,1,4.166666667,,
4003845258,1504,1690,0,0,13.777356902,11279.166666667,1,4.166666667,,
4003847258,1498,1696,0,0,13.777356902,11281.166666667,1,4.166666667,,
4003849258,1504,1692,0,0,13.777356902,11283.166666667,1,4.166666667,,
4003851258,1504,1690,0,0,13.777356902,11285.166666667,1,4.166666667,,
4003853258,1500,1701,0,0,13.777356902,11287.166666667,1,4.166666667,,
4003855258,1501,1697,0,0,13.775778331,11289.166666667,1,4.166666667,,
4003857258,1499,1690,0,0,13.773884046,11291.166666667,1,4.166666667,,
4003859258,1500,1693,0,0,13.771548113,11293.166666667,1,4.166666667,,
4003861258,1502,1685,0,0,13.769064964,11295.166666667,1,4.166666667,,
4003863258,1498,1693,0,0,13.762401328,11297.166666667,1,4.166666667,,
4003865258,1499,1692,0,0,13.75364745,11299.166666667,1,4.166666667,,
4003867258,1500,1694,0,0,13.75,11301.166666667,1,4.166666667,,
4003869258,1502,1695,0,0,13.75,11303.166666667,1,4.166666667,,
4003871258,1504,1697,0,0,13.75,11305.166666667,1,4.166666667,,
4003873258,1498,1697,0,0,13.75,11307.166666667,1,4.166666667,,
4003875258,1500,1695,0,0,13.75,11309.166666667,1,4.166666667,,
4003877258,1500,1700,0,0,13.75,11311.166666667,1,4.166666667,,
4003879258,1505,1685,0,0,13.752388889,11313.166666667,1,4.166666667,,
4003881258,1497,1692,0,0,13.759555556,11315.166666667,1,4.166666667,,
4003883258,1500,1694,0,0,13.771314565,11317.166666667,1,4.166666667,,
4003885258,1504,1692,0,0,13.796850601,11319.166666667,1,4.166666667,,
4003887258,1496,1693,0,0,13.819104021,11321.166666667,1,4.166666667,,
4003889258,1512,1697,0,0,13.824944365,11323.166666667,1,4.166666667,,
4003891258,1500,1692,0,0,13.830360564,11325.166666667,1,4.166666667,,
4003893258,1504,1689,0,0,13.831111168,11327.166666667,1,4.166666667,,
4003895258,1501,1695,0,0,13.831861772,11329.166666667,1,4.166666667,,
4003897258,1502,1692,0,0,13.831861772,11331.166666667,1,4.166666667,,
4003899258,1502,1692,0,0,13.831861772,11333.166666667,1,4.166666667,,
4003901258,1502,1691,0,0,13.831861772,11335.166666667,1,4.166666667,,
4003903258,1501,1699,0,0,13.831861772,11337.166666667,1,4.166666667,,
4003905258,1496,1695,0,0,13.831861772,11339.166666667,1,4.166666667,,
4003907258,1498,1699,0,0,13.831861772,11341.166666667,1,4.166666667,,
4003909258,1501,1696,0,0,13.817936989,11343.166666667,1,4.166666667,,
4003911258,1503,1693,0,0,13.799370611,11345.166666667,1,4.166666667,,
4003913258,1502,1696,0,0,13.787276915,11347.166666667,1,4.166666667,,
4003915258,1511,1693,0,0,13.778419561,11349.166666667,1,4.166666667,,
4003917258,1501,1691,0,0,13.768520927,11351.166666667,1,4.166666667,,
4003919258,1496,1693,0,0,13.757878522,11353.166666667,1,4.166666667,,
4003921258,1504,1697,0,0,13.752341787,11355.166666667,1,4.166666667,,
4003923258,1504,1693,0,0,13.751910723,11357.166666667,1,4.166666667,,
4003925258,1503,1703,0,0,13.751657259,11359.166666667,1,4.166666667,,
4003927258,1501,1697,0,0,13.751652434,11361.166666667,1,4.166666667,,
4003929258,1508,1688,0,0,13.751649217,11363.166666667,1,4.166666667,,
4003931258,1504,1693,0,0,13.751649217,11365.166666667,1,4.166666667,,
4003933258,1511,1694,0,0,13.751650423,11367.166666667,1,4.166666667,,
4003935258,1499,1701,0,0,13.751655248,11369.166666667,1,4.166666667,,
4003937258,1504,1697,0,0,13.751659269,11371.166666667,1,4.166666667,,
4003939258,1500,1696,0,0,13.751659269,11373.166666667,1,4.166666667,,
4003941258,1504,1693,0,0,13.751695191,11375.166666667,1,4.166666667,,
4003943258,1497,1693,0,0,13.752126255,11377.166666667,1,4.166666667,,
4003945258,1508,1693,0,0,13.752557319,11379.166666667,1,4.166666667,,
4003947258,1505,1697,0,0,13.752126255,11381.166666667,1,4.166666667,,
4003949258,1504,1697,0,0,13.751695191,11383.166666667,1,4.166666667,,
4003951258,1507,1701,0,0,13.751654846,11385.166666667,1,4.166666667,,
4003953258,1499,1692,0,0,13.751650021,11387.166666667,1,4.166666667,,
4003955258,1508,1692,0,0,13.75098953,11389.166666667,1,4.166666667,,
4003957258,1499,1700,0,0,13.750197906,11391.166666667,1,4.166666667,,
4003959258,1504,1692,0,0,13.75,11393.166666667,1,4.166666667,,
4003961258,1504,1692,0,0,13.75,11395.166666667,1,4.166666667,,
4003963258,1497,1694,0,0,13.75,11397.166666667,1,4.166666667,,
4003965258,1496,1693,0,0,13.75,11399.166666667,1,4.166666667,,
4003967258,1502,1693,0,0,13.75,11401.166666667,1,4.166666667,,
4003969258,1497,1692,0,0,13.75,11403.166666667,1,4.166666667,,
