frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
35,0,251.0,255.0,50.0,201.0,205.0,301.0,305.0,0.7919213677423254,hough,7853.981633974483,1.0,0.78,217.65659655831737,37.2604206500956,0.0
35,1,267.0,153.0,74.0,193.0,79.0,341.0,227.0,0.5737436068985342,hough,17203.36137105771,1.0,0.78,204.56831268539523,24.29250276275228,0.0
35,2,502.0,185.0,72.0,430.0,113.0,574.0,257.0,0.5643103792051812,hough,16286.016316209487,1.0,0.78,177.9136752663013,24.765408533957267,0.0
35,3,371.0,263.0,79.0,292.0,184.0,450.0,342.0,0.5078461635824794,hough,19606.6797510539,1.0,0.78,198.04929253716094,18.374418961025693,0.0
35,4,338.0,162.0,84.0,254.0,78.0,422.0,246.0,0.4555239425835996,hough,22167.077763729583,1.0,0.78,206.82609677856593,12.077486106718474,0.0
36,0,251.0,253.0,51.0,200.0,202.0,302.0,304.0,0.796620187821947,hough,8171.282491987052,1.0,0.78,216.41575920714547,36.84779150862597,0.0
36,1,520.0,171.0,55.0,465.0,116.0,575.0,226.0,0.6441654171263613,hough,9503.317777109125,1.0,0.78,188.9400654215469,9.346523161337977,0.0
36,2,371.0,268.0,79.0,292.0,189.0,450.0,347.0,0.5050628203836276,hough,19606.6797510539,1.0,0.78,197.34463911733155,17.816417224293815,0.0
36,3,344.0,168.0,84.0,260.0,84.0,428.0,252.0,0.45474803614276904,hough,22167.077763729583,1.0,0.78,208.46243166312743,11.442777752676998,0.0
37,0,252.0,259.0,50.0,202.0,209.0,302.0,309.0,0.7862262109670595,hough,7853.981633974483,1.0,0.78,217.15768005098786,35.87214786488209,0.0
37,1,521.0,168.0,53.0,468.0,115.0,574.0,221.0,0.6581097459222489,hough,8824.73376393373,1.0,0.78,188.7216483142241,9.142013849472132,0.0
37,2,350.0,145.0,79.0,271.0,66.0,429.0,224.0,0.4970571286805788,hough,19606.6797510539,1.0,0.78,199.57766767124687,15.097767788731675,0.0
