frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
118,6.974008136989829,6.974008136989829,497.0,181.0,80.0,417.0,101.0,577.0,261.0,0.47894785021016073,True,hough,157,44,472,359,16.919968787264995,1.0
119,7.033109900862624,7.033109900862624,524.0,165.0,54.0,470.0,111.0,578.0,219.0,0.6477056749027512,True,hough,157,44,472,359,16.919968787264995,1.0
120,7.0922116647354185,7.0922116647354185,525.0,163.0,53.0,472.0,110.0,578.0,216.0,0.6542018581559492,True,hough,157,44,472,359,16.919968787264995,1.0
121,7.151313428608214,7.151313428608214,500.0,183.0,78.0,422.0,105.0,578.0,261.0,0.49253312242507913,True,hough,157,44,472,359,16.919968787264995,1.0
122,7.210415192481009,7.210415192481009,506.0,183.0,72.0,434.0,111.0,578.0,255.0,0.5395394895057881,True,hough,157,44,472,359,16.919968787264995,1.0
123,7.2695169563538045,7.2695169563538045,524.0,166.0,55.0,469.0,111.0,579.0,221.0,0.6400914749505673,True,hough,157,44,472,359,16.919968787264995,1.0
124,7.3286187202266,7.3286187202266,507.0,180.0,72.0,435.0,108.0,579.0,252.0,0.5368108787276921,True,hough,157,44,472,359,16.919968787264995,1.0
125,7.387720484099395,7.387720484099395,506.0,181.0,72.0,434.0,109.0,578.0,253.0,0.5381043930239962,True,hough,157,44,472,359,16.919968787264995,1.0
126,7.4468222479721895,7.4468222479721895,502.0,181.0,76.0,426.0,105.0,578.0,257.0,0.5082780952640449,True,hough,157,44,472,359,16.919968787264995,1.0
127,7.505924011844985,7.505924011844985,525.0,163.0,53.0,472.0,110.0,578.0,216.0,0.6553890213513442,True,hough,157,44,472,359,16.919968787264995,1.0
128,7.56502577571778,7.56502577571778,524.0,166.0,55.0,469.0,111.0,579.0,221.0,0.6396380267674532,True,hough,157,44,472,359,16.919968787264995,1.0
129,7.624127539590575,7.624127539590575,498.0,171.0,80.0,418.0,91.0,578.0,251.0,0.4780418625972479,True,hough,157,44,472,359,16.919968787264995,1.0
130,7.683229303463371,7.683229303463371,504.0,184.0,74.0,430.0,110.0,578.0,258.0,0.5240011358974541,True,hough,157,44,472,359,16.919968787264995,1.0
131,7.742331067336166,7.742331067336166,504.0,184.0,74.0,430.0,110.0,578.0,258.0,0.5234559285456248,True,hough,157,44,472,359,16.919968787264995,1.0
132,7.8014328312089605,7.8014328312089605,502.0,183.0,76.0,426.0,107.0,578.0,259.0,0.5036259911396366,True,hough,157,44,472,359,16.919968787264995,1.0
133,7.860534595081756,7.860534595081756,510.0,179.0,74.0,436.0,105.0,584.0,253.0,0.5132204074774291,True,hough,157,44,472,359,16.919968787264995,1.0
