frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,top_valid,top_reason,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_height_mm_config,video_width_px,video_height_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_pulse_width_ms
21,True,dark_blob,0.5984906843033193,257.5265784362902,263.4296150531826,146.0,178.0,162.0,158.0,12958.5,0.5062705110173464,0.26179375181909786,41.45280324665565,180.0,178.90714285714284,245.0,142,15.511495535714285,True,OK,178.90714285714284,15.511495535714285,257.6338102603764,263.4157442048829,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2538.0,53.3793012871027,128.42218282111898,1425.2389078498293,0.2380504843840854,0,LOW,0,0,114,186,72,709.9877266778836,58.333333333333336,-93,-258.33333333333337,-458.3333333333333,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
22,True,dark_blob,0.5971342353136915,257.7807177262103,263.23036196231874,146.0,178.0,162.0,158.0,12906.5,0.5042389435849352,0.25942581358991423,41.37759336099585,179.22,178.09597091194968,244.5,138,15.566418636170074,True,OK,178.09597091194968,15.566418636170074,257.6097516976561,263.4157442048829,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2534.5,53.28500032879594,128.3785756559479,1423.05371752195,0.23523846017594188,0,LOW,0,0,114,186,72,743.7966660434971,61.11111111111111,-92,-255.55555555555554,-455.55555555555554,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
23,True,dark_blob,0.5985368550929986,257.5839581561928,263.4362165365489,146.0,178.0,162.0,158.0,12937.0,0.5054305360212533,0.2653137435653581,41.38590679816306,179.0,178.09116541353382,244.5,144,15.566744008458647,True,OK,178.09597091194968,15.566418636170074,257.6097516976561,263.4157442048829,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2526.0,53.4601477962523,128.3472552124571,1416.7543076027061,0.22713202982800793,0,LOW,0,0,114,186,72,777.6056054091107,63.888888888888886,-91,-252.77777777777777,-452.77777777777777,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
24,True,dark_blob,0.5977190541239925,257.6997830130192,263.62388923331264,146.0,178.0,162.0,158.0,12904.0,0.5041412720737615,0.26407772813240904,41.33230188679246,179.0,178.0909730033746,244.5,147,15.566757036229845,True,OK,178.09116541353382,15.566744008458647,257.6097516976561,263.4296150531826,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2529.0,53.49597996573085,128.33478318175827,1420.9698386771981,0.2325568092078237,0,LOW,0,0,114,186,72,811.4145447747242,66.66666666666667,-90,-250.0,-450.0,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
25,True,dark_blob,0.5984425455513311,257.6097516976561,263.3194814900717,146.0,178.0,162.0,158.0,12934.5,0.5053328645100797,0.2643065938664401,41.34063700022588,178.52,178.08240157480316,244.5,143,15.567337393372702,True,OK,178.09116541353382,15.566744008458647,257.6097516976561,263.4362165365489,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2530.5,53.52242639794507,128.3194362115524,1419.1250771639452,0.230182867694659,0,LOW,0,0,114,186,72,845.2234841403376,69.44444444444444,-89,-247.22222222222223,-447.22222222222223,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
26,True,dark_blob,0.5983654896506476,257.6239283181847,263.38496744665764,146.0,178.0,162.0,158.0,12927.5,0.5050593842787936,0.2646265277307507,41.315099457504516,179.0,178.4896586727573,244.5,145,15.539762694032058,True,OK,178.09116541353382,15.566744008458647,257.5839581561928,263.4697986577181,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2527.5,53.54342235410485,128.35628090999012,1419.1594527418886,0.23022710409645541,0,LOW,0,0,114,186,72,879.0324235059512,72.22222222222221,-88,-244.44444444444443,-444.4444444444444,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
27,True,dark_blob,0.5985635916563505,257.47398747282995,263.48984578976473,146.0,178.0,162.0,158.0,12958.5,0.5062705110173464,0.2612446450498676,41.37877649180821,179.0,178.0547533606744,244.5,145,15.569209407871003,True,OK,178.0909730033746,15.566757036229845,257.5039531027035,263.4697986577181,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2540.0,53.47959317585301,128.42020997375326,1420.2100617435303,0.23157908607633962,0,LOW,0,0,114,186,72,912.8413628715647,75.0,-87,-241.66666666666666,-441.66666666666663,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
28,True,dark_blob,0.5989402743777501,257.440872648782,263.49238102579915,146.0,178.0,162.0,158.0,12972.0,0.5067979371776841,0.26268491487038736,41.4380537618261,179.0,178.50347700236506,244.5,146,15.538827077964864,True,OK,178.08240157480316,15.567337393372702,257.47712267180475,263.4421708413616,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2530.0,53.478524374176544,128.4159420289855,1417.042661416031,0.22750309952076414,0,LOW,0,0,114,186,72,946.6503022371783,77.77777777777779,-86,-238.8888888888889,-438.88888888888886,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
29,True,dark_blob,0.598723774275326,257.46335724755073,263.4697986577181,146.0,178.0,162.0,158.0,12963.0,0.506446319737459,0.26305564765782996,41.465249079570214,178.7,178.50347700236506,244.5,146,15.538827077964864,True,OK,178.4896586727573,15.539762694032058,257.47712267180475,263.4421708413616,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2530.0,53.478524374176544,128.4159420289855,1417.446468127,0.22802274041069853,0,LOW,0,0,114,186,72,980.4592416027917,80.55555555555556,-85,-236.11111111111111,-436.11111111111114,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
30,True,dark_blob,0.5989864074658877,257.5039531027035,263.39047655777955,146.0,178.0,162.0,158.0,12964.5,0.5065049226441631,0.2651516171589584,41.47798647633359,178.7,178.07378746496724,244.5,146,15.567920640392842,True,OK,178.50347700236506,15.538827077964864,257.47712267180475,263.4421708413616,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2526.5,53.533808298700436,128.38604129559997,1414.8935763033317,0.22473753750762074,0,LOW,0,0,114,186,72,1014.2681809684053,83.33333333333333,-84,-233.33333333333334,-433.33333333333337,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
31,True,dark_blob,0.5995219901605768,257.47712267180475,263.4421708413616,146.0,178.0,162.0,158.0,12975.0,0.5069151429910923,0.26712585156227836,41.44935805991441,179.0,178.07408216783216,244.5,146,15.56790068655303,True,OK,178.50347700236506,15.538827077964864,257.47712267180475,263.394097155271,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2526.5,53.474965367108645,128.4143413153902,1415.9330320475487,0.2260751668567626,0,LOW,0,0,114,186,72,1048.0771203340187,86.11111111111111,-83,-230.55555555555557,-430.5555555555556,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
32,True,dark_blob,0.5991221224721723,257.4935427439479,263.37396773944585,146.0,178.0,162.0,157.0,12957.0,0.5094361877801368,0.2623811630532085,41.512440802826426,179.0,178.51344537815126,244.5,146,15.538152135854341,True,OK,178.5074297784036,15.538559442087255,257.47712267180475,263.394097155271,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2531.0,53.50111945212695,128.3911497431845,1418.53181167524,0.22941942073316987,0,LOW,0,0,114,186,72,1081.8860596996321,88.88888888888889,-82,-227.77777777777777,-427.77777777777777,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
33,True,dark_blob,0.5993663417373871,257.50344863084206,263.37963248919084,146.0,178.0,162.0,157.0,12952.0,0.5092396005347173,0.2639427065881223,41.41976237028125,179.0,178.5074297784036,244.5,146,15.538559442087255,True,OK,178.5074297784036,15.538559442087255,257.47712267180475,263.39047655777955,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2520.0,53.37559523809524,128.3780423280423,1413.3764571120544,0.22278522432094697,0,LOW,0,0,114,186,72,1115.6949990652458,91.66666666666666,-81,-225.0,-425.0,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
34,True,dark_blob,0.5997403933802081,257.45835743575896,263.394097155271,146.0,178.0,162.0,157.0,12965.5,0.50977038609735,0.26461245488684915,41.431522800691155,179.0,178.5074297784036,244.5,146,15.538559442087255,True,OK,178.5074297784036,15.538559442087255,257.45838959836414,263.37963248919084,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2520.0,53.37559523809524,128.3780423280423,1415.0065359477126,0.22488290024810598,0,LOW,0,0,114,186,72,1149.503938430859,94.44444444444444,-80,-222.2222222222222,-422.22222222222223,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
