frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
54,0,180.04318185770683,284.14154536442845,73.0,194.0,218.0,168.0,1.2976190476190477,28750.5,0.7850180209698558,0.8208560905948751,83.43313132704358,0.8080098229552903,dark_blob,75.0,73.0,0.0,445.0,10.901307189542484,0.111841599384852,True,True,OK,195.0,195.7,178.0,217
55,0,180.0377424123837,284.1446212714149,73.0,194.0,218.0,168.0,1.2976190476190477,28747.5,0.7849361074705111,0.8207704378308727,83.43400254829712,0.8078799685184596,dark_blob,75.0,73.0,0.0,445.0,10.884313725490195,0.11084198385236439,True,True,OK,195.0,195.9,178.0,217
56,0,180.0314505888288,284.1469723589681,73.0,194.0,218.0,168.0,1.2976190476190477,28743.5,0.7848268894713849,0.820656233457289,83.47701050456345,0.8078388126971575,dark_blob,75.0,73.0,0.0,445.0,10.897431487214767,0.1116136168949863,True,True,OK,195.0,195.74561403508773,178.0,217
57,0,180.03154085697884,284.14688331796594,73.0,194.0,218.0,168.0,1.2976190476190477,28740.5,0.7847449759720402,0.8205705803983236,83.5046155965831,0.8077833770472167,dark_blob,75.0,73.0,0.0,445.0,10.901610644257701,0.11185944966221772,True,True,OK,195.0,195.69642857142858,178.0,217
58,0,180.02913904980602,284.15489796983456,73.0,194.0,218.0,168.0,1.2976190476190477,28741.5,0.7847722804718218,0.8205991314179787,83.49853614852064,0.8078041958053761,dark_blob,75.0,73.0,0.0,445.0,10.901610644257701,0.11185944966221772,True,True,OK,195.0,195.69642857142858,178.0,217
59,0,180.02790098975456,284.1534554436501,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847847718766,83.48591403774624,0.8080522997259021,dark_blob,75.0,73.0,0.0,445.0,10.934960912469561,0.11382123014526832,True,True,OK,195.0,195.30392156862746,178.0,217
60,0,180.0242697332939,284.1569964682754,73.0,194.0,218.0,168.0,1.2976190476190477,28739.5,0.7847176714722587,0.8205420293786686,83.47924632289622,0.8078780505206625,dark_blob,75.0,73.0,0.0,445.0,10.911220043572984,0.11242470844546962,True,True,OK,195.0,195.58333333333334,178.0,217
61,0,180.03637344095188,284.1508167063858,73.0,194.0,218.0,168.0,1.2976190476190477,28743.5,0.7848268894713849,0.820656233162367,83.46629929395557,0.8080798325094042,dark_blob,75.0,73.0,0.0,445.0,10.93499066293184,0.11382298017246117,True,True,OK,195.0,195.30357142857142,178.0,217
62,0,180.0270669890584,284.1491989493277,73.0,194.0,218.0,168.0,1.2976190476190477,28743.5,0.7848268894713849,0.820656233457289,83.47735491648011,0.8079204017730293,dark_blob,75.0,73.0,0.0,445.0,10.91141141141141,0.11243596537714172,True,True,OK,195.0,195.5810810810811,178.0,217
63,0,180.0403917407414,284.1465548732757,73.0,194.0,218.0,168.0,1.2976190476190477,28743.5,0.7848268894713849,0.8206562340471332,83.49591871878766,0.8078178279858174,dark_blob,75.0,73.0,0.0,445.0,10.899891067538125,0.11175829809047792,True,True,OK,195.0,195.71666666666667,178.0,217
64,0,180.03470229087304,284.13830471916367,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847850668089,83.51418928227028,0.8077465797511811,dark_blob,75.0,73.0,0.0,445.0,10.892001244942422,0.11129419087896603,True,True,OK,195.0,195.8095238095238,178.0,217
65,0,180.04016420532625,284.13830471916367,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847847718766,83.51294944207191,0.8077807032709223,dark_blob,75.0,73.0,0.0,445.0,10.897407050251795,0.11161217942657618,True,True,OK,195.0,195.74590163934425,178.0,217
66,0,180.03875254378795,284.14753100377436,73.0,194.0,218.0,168.0,1.2976190476190477,28746.5,0.7849088029707296,0.8207418868112073,83.51584131138509,0.8074172163848798,dark_blob,75.0,73.0,0.0,445.0,10.833333333333332,0.1078431372549019,True,True,OK,195.0,196.5,178.0,217
67,0,180.03838594660405,284.16185755283067,73.0,194.0,218.0,168.0,1.2976190476190477,28747.5,0.7849361074705111,0.8207704366510203,83.49998278177624,0.8075039715189999,dark_blob,75.0,73.0,0.0,445.0,10.841425459072518,0.10831914465132458,True,True,OK,195.0,196.4047619047619,178.0,217
68,0,180.03965838131185,284.1652258614392,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8207133343168291,83.53001343113958,0.8074407246148839,dark_blob,75.0,73.0,0.0,445.0,10.843448490507313,0.1084381465004302,True,True,OK,195.0,196.38095238095238,178.0,217
69,0,180.0424602967524,284.1611264763694,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847830022828,83.52796528447445,0.8075786910419355,dark_blob,75.0,73.0,0.0,445.0,10.867851307189541,0.10987360630526713,True,True,OK,195.0,196.09375,178.0,217
