frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,mm_per_px,y_top_fixed_ruler_mm,y_center_ruler_mm,y_top_raw_ruler_mm,y_top_fixed_mm_from_ruler_top,y_center_mm_from_ruler_top,z_top_fixed_mm_rel,z_center_mm_rel,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
92,3.1172114918656977,3.1172114918656977,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.618523577493074,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
93,3.1510942254729333,3.1510942254729333,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6185129419515598,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
94,3.1849769590801693,3.1849769590801693,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6184564256915557,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
95,3.218859692687405,3.218859692687405,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6184558684922623,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
96,3.252742426294641,3.252742426294641,218.0,319.0,58.0,160.0,261.0,276.0,377.0,0.6196467380389064,True,hough,58.0,261.0,377.0,160.0,276.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
97,3.2866251599018765,3.2866251599018765,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6183903047087305,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
98,3.3205078935091126,3.3205078935091126,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6366591092850862,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
99,3.3543906271163486,3.3543906271163486,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6366332546359563,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
100,3.388273360723584,3.388273360723584,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6366020102610299,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
101,3.4221560943308202,3.4221560943308202,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6366428237268615,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
102,3.456038827938056,3.456038827938056,208.0,320.0,56.0,152.0,264.0,264.0,376.0,0.6284355092089517,True,hough,58.0,262.0,378.0,150.0,266.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
103,3.489921561545292,3.489921561545292,192.0,301.0,55.0,137.0,246.0,247.0,356.0,0.6231458098004723,True,hough,58.0,243.0,359.0,134.0,250.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
104,3.5238042951525275,3.5238042951525275,192.0,301.0,55.0,137.0,246.0,247.0,356.0,0.6229725109779359,True,hough,58.0,243.0,359.0,134.0,250.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
105,3.5576870287597635,3.5576870287597635,210.0,320.0,56.0,154.0,264.0,266.0,376.0,0.629204183463824,True,hough,58.0,262.0,378.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
106,3.5915697623669995,3.5915697623669995,210.0,320.0,56.0,154.0,264.0,266.0,376.0,0.6290724280191371,True,hough,58.0,262.0,378.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
107,3.625452495974235,3.625452495974235,207.0,325.0,55.0,152.0,270.0,262.0,380.0,0.6377664858645034,True,hough,58.0,267.0,383.0,149.0,265.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
108,3.659335229581471,3.659335229581471,172.0,293.0,54.0,118.0,239.0,226.0,347.0,0.6330389814347681,True,hough,58.0,235.0,351.0,114.0,230.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
109,3.6932179631887068,3.6932179631887068,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6185087583135314,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
110,3.727100696795943,3.727100696795943,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6164866170709398,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
111,3.7609834304031784,3.7609834304031784,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6165413061815939,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
112,3.7948661640104144,3.7948661640104144,206.0,313.0,67.0,139.0,246.0,273.0,380.0,0.5482614093303488,True,hough,58.0,255.0,371.0,148.0,264.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
113,3.82874889761765,3.82874889761765,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6166004389566135,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
114,3.862631631224886,3.862631631224886,204.0,321.0,59.0,145.0,262.0,263.0,380.0,0.6077615891119164,True,hough,58.0,263.0,379.0,146.0,262.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
115,3.896514364832122,3.896514364832122,204.0,321.0,59.0,145.0,262.0,263.0,380.0,0.6077572814234786,True,hough,58.0,263.0,379.0,146.0,262.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
116,3.9303970984393577,3.9303970984393577,204.0,321.0,59.0,145.0,262.0,263.0,380.0,0.6073696343826225,True,hough,58.0,263.0,379.0,146.0,262.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
117,3.9642798320465937,3.9642798320465937,222.0,309.0,47.0,175.0,262.0,269.0,356.0,0.6261033166142735,True,hough,58.0,251.0,367.0,164.0,280.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
118,3.9981625656538293,3.9981625656538293,218.0,320.0,56.0,162.0,264.0,274.0,376.0,0.6342660119026652,True,hough,58.0,262.0,378.0,160.0,276.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
119,4.032045299261065,4.032045299261065,171.0,302.0,62.0,109.0,240.0,233.0,364.0,0.5784876001751607,True,hough,58.0,244.0,360.0,113.0,229.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
