frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
137,4.5666231746031745,4.5666231746031745,523.0,342.0,78.0,445.0,264.0,601.0,420.0,0.643334400233811,True,hough,208,70,454,352,30.00028571700683,1.0
138,4.59995619047619,4.59995619047619,542.0,294.0,53.0,489.0,241.0,595.0,347.0,0.9131093230036207,True,hough,208,70,454,352,30.00028571700683,1.0
139,4.633289206349207,4.633289206349207,531.0,320.0,84.0,447.0,236.0,615.0,404.0,0.609582223714694,True,hough,208,70,454,352,30.00028571700683,1.0
140,4.666622222222222,4.666622222222222,539.0,320.0,78.0,461.0,242.0,617.0,398.0,0.6719532934973282,True,hough,208,70,454,352,30.00028571700683,1.0
141,4.699955238095238,4.699955238095238,546.0,323.0,80.0,466.0,243.0,626.0,403.0,0.6424464907649334,True,hough,208,70,454,352,30.00028571700683,1.0
142,4.733288253968254,4.733288253968254,542.0,324.0,80.0,462.0,244.0,622.0,404.0,0.6492531444059229,True,hough,208,70,454,352,30.00028571700683,1.0
143,4.76662126984127,4.76662126984127,542.0,324.0,80.0,462.0,244.0,622.0,404.0,0.6491249991784079,True,hough,208,70,454,352,30.00028571700683,1.0
144,4.799954285714286,4.799954285714286,541.0,317.0,74.0,467.0,243.0,615.0,391.0,0.7292337958491215,True,hough,208,70,454,352,30.00028571700683,1.0
145,4.833287301587301,4.833287301587301,545.0,326.0,83.0,462.0,243.0,628.0,409.0,0.6130054902428945,True,hough,208,70,454,352,30.00028571700683,1.0
146,4.866620317460318,4.866620317460318,540.0,323.0,79.0,461.0,244.0,619.0,402.0,0.6669792887383497,True,hough,208,70,454,352,30.00028571700683,1.0
147,4.899953333333333,4.899953333333333,540.0,323.0,79.0,461.0,244.0,619.0,402.0,0.6668727524067,True,hough,208,70,454,352,30.00028571700683,1.0
148,4.933286349206349,4.933286349206349,530.0,320.0,84.0,446.0,236.0,614.0,404.0,0.6239433409533481,True,hough,208,70,454,352,30.00028571700683,1.0
149,4.966619365079365,4.966619365079365,540.0,319.0,75.0,465.0,244.0,615.0,394.0,0.7199329281192646,True,hough,208,70,454,352,30.00028571700683,1.0
150,4.999952380952381,4.999952380952381,554.0,326.0,79.0,475.0,247.0,633.0,405.0,0.6526386972379195,True,hough,208,70,454,352,30.00028571700683,1.0
151,5.033285396825397,5.033285396825397,535.0,339.0,72.0,463.0,267.0,607.0,411.0,0.7358809247622378,True,hough,208,70,454,352,30.00028571700683,1.0
152,5.066618412698412,5.066618412698412,543.0,312.0,71.0,472.0,241.0,614.0,383.0,0.7532978925979357,True,hough,208,70,454,352,30.00028571700683,1.0
153,5.099951428571429,5.099951428571429,541.0,317.0,75.0,466.0,242.0,616.0,392.0,0.7055267272013088,True,hough,208,70,454,352,30.00028571700683,1.0
154,5.1332844444444445,5.1332844444444445,543.0,342.0,78.0,465.0,264.0,621.0,420.0,0.6455260312689768,True,hough,208,70,454,352,30.00028571700683,1.0
155,5.16661746031746,5.16661746031746,540.0,317.0,76.0,464.0,241.0,616.0,393.0,0.6941528674073849,True,hough,208,70,454,352,30.00028571700683,1.0
156,5.199950476190476,5.199950476190476,541.0,317.0,75.0,466.0,242.0,616.0,392.0,0.7053101196412173,True,hough,208,70,454,352,30.00028571700683,1.0
157,5.233283492063492,5.233283492063492,539.0,321.0,79.0,460.0,242.0,618.0,400.0,0.6512811355433739,True,hough,208,70,454,352,30.00028571700683,1.0
158,5.266616507936508,5.266616507936508,527.0,338.0,82.0,445.0,256.0,609.0,420.0,0.5962533862216556,True,hough,208,70,454,352,30.00028571700683,1.0
159,5.2999495238095236,5.2999495238095236,542.0,318.0,78.0,464.0,240.0,620.0,396.0,0.6594313566520476,True,hough,208,70,454,352,30.00028571700683,1.0
160,5.33328253968254,5.33328253968254,542.0,314.0,75.0,467.0,239.0,617.0,389.0,0.699139210065952,True,hough,208,70,454,352,30.00028571700683,1.0
161,5.366615555555556,5.366615555555556,546.0,317.0,78.0,468.0,239.0,624.0,395.0,0.6524934583308581,True,hough,208,70,454,352,30.00028571700683,1.0
162,5.399948571428571,5.399948571428571,547.0,323.0,84.0,463.0,239.0,631.0,407.0,0.5714782812385935,True,hough,208,70,454,352,30.00028571700683,1.0
163,5.433281587301587,5.433281587301587,534.0,338.0,78.0,456.0,260.0,612.0,416.0,0.6244717043888186,True,hough,208,70,454,352,30.00028571700683,1.0
164,5.4666146031746035,5.4666146031746035,531.0,341.0,80.0,451.0,261.0,611.0,421.0,0.596232449299535,True,hough,208,70,454,352,30.00028571700683,1.0
165,5.499947619047619,5.499947619047619,531.0,339.0,80.0,451.0,259.0,611.0,419.0,0.5979942392951507,True,hough,208,70,454,352,30.00028571700683,1.0
166,5.533280634920635,5.533280634920635,546.0,320.0,84.0,462.0,236.0,630.0,404.0,0.5750634134119164,True,hough,208,70,454,352,30.00028571700683,1.0
167,5.56661365079365,5.56661365079365,554.0,293.0,58.0,496.0,235.0,612.0,351.0,0.8688480880399279,True,hough,208,70,454,352,30.00028571700683,1.0
168,5.599946666666667,5.599946666666667,531.0,339.0,80.0,451.0,259.0,611.0,419.0,0.5972145978235031,True,hough,208,70,454,352,30.00028571700683,1.0
