T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
1230051258,1532,1704,0,0
1230053258,1524,1713,0,0
1230055258,1525,1705,0,0
1230057258,1524,1704,0,0
1230059258,1521,1701,0,0
1230061258,1521,1704,0,0
1230063258,1523,1705,0,0
1230065258,1529,1713,0,0
1230067258,1518,1703,0,0
1230069258,1527,1705,0,0
1230071258,1524,1707,0,0
1230073258,1526,1703,0,0
1230075258,1527,1700,0,0
1230077258,1525,1705,0,0
1230079258,1534,1702,0,0
1230081258,1520,1709,0,0
1230083258,1524,1709,0,0
1230085258,1523,1696,0,0
1230087258,1516,1709,0,0
1230089258,1528,1699,0,0
1230091258,1524,1700,0,0
1230093258,1527,1701,0,0
1230095258,1526,1703,0,0
1230097258,1525,1702,0,0
1230099258,1523,1703,0,0
1230101258,1526,1702,0,0
1230103258,1520,1715,0,0
1230105258,1529,1700,0,0
1230107258,1529,1713,0,0
1230109258,1514,1709,0,0
1230111258,1518,1703,0,0
1230113258,1531,1697,0,0
1230115258,1523,1704,0,0
1230117258,1516,1704,0,0
1230119258,1522,1702,0,0
1230121258,1524,1709,0,0
1230123258,1524,1706,0,0
1230125258,1525,1707,0,0
1230127258,1528,1697,0,0
1230129258,1528,1707,0,0
1230131258,1520,1699,0,0
1230133258,1526,1709,0,0
1230135258,1520,1700,0,0
1230137258,1521,1697,0,0
1230139258,1521,1709,0,0
1230141258,1528,1717,0,0
1230143258,1517,1703,0,0
1230145258,1520,1701,0,0
1230147258,1518,1709,0,0
1230149258,1520,1700,0,0
1230151258,1524,1705,0,0
1230153258,1525,1710,0,0
1230155258,1526,1705,0,0
1230157258,1521,1707,0,0
1230159258,1527,1705,0,0
1230161258,1520,1704,0,0
1230163258,1528,1705,0,0
1230165258,1528,1704,0,0
1230167258,1521,1705,0,0
1230169258,1525,1704,0,0
1230171258,1526,1701,0,0
1230173258,1525,1703,0,0
1230175258,1527,1709,0,0
1230177258,1527,1705,0,0
1230179258,1521,1701,0,0
1230181258,1528,1703,0,0
1230183258,1521,1705,0,0
1230185258,1525,1702,0,0
1230187258,1523,1704,0,0
1230189258,1525,1702,0,0
1230191258,1530,1705,0,0
1230193258,1523,1713,0,0
1230195258,1526,1709,0,0
1230197258,1528,1697,0,0
1230199258,1522,1704,0,0
1230201258,1529,1709,0,0
1230203258,1525,1706,0,0
1230205258,1518,1714,0,0
1230207258,1525,1703,0,0
1230209258,1514,1701,0,0
1230211258,1525,1707,0,0
1230213258,1521,1704,0,0
1230215258,1526,1698,0,0
1230217258,1525,1707,0,0
1230219258,1521,1705,0,0
1230221258,1520,1711,0,0
1230223258,1523,1705,0,0
1230225258,1520,1705,0,0
1230227258,1529,1705,0,0
1230229258,1514,1701,0,0
1230231258,1525,1700,0,0
1230233258,1527,1713,0,0
1230235258,1524,1707,0,0
1230237258,1523,1700,0,0
1230239258,1524,1705,0,0
1230241258,1526,1706,0,0
1230243258,1521,1697,0,0
1230245258,1518,1705,0,0
1230247258,1532,1703,0,0
1230249258,1518,1707,0,0
1230251258,1525,1710,0,0
1230253258,1522,1705,0,0
1230255258,1521,1703,0,0
1230257258,1525,1705,0,0
1230259258,1527,1697,0,0
1230261258,1520,1702,0,0
1230263258,1525,1705,0,0
1230265258,1524,1709,0,0
1230267258,1531,1704,0,0
1230269258,1530,1697,0,0
1230271258,1526,1705,0,0
1230273258,1525,1704,0,0
1230275258,1523,1705,0,0
1230277258,1521,1703,0,0
1230279258,1524,1701,0,0
1230281258,1527,1697,0,0
1230283258,1524,1706,0,0
1230285258,1520,1703,0,0
1230287258,1525,1696,0,0
1230289258,1522,1705,0,0
1230291258,1526,1697,0,0
1230293258,1530,1707,0,0
1230295258,1521,1701,0,0
1230297258,1531,1702,0,0
1230299258,1526,1703,0,0
1230301258,1520,1709,0,0
1230303258,1523,1696,0,0
1230305258,1528,1694,0,0
1230307258,1526,1704,0,0
1230309258,1524,1696,0,0
1230311258,1526,1707,0,0
1230313258,1513,1705,0,0
1230315258,1523,1702,0,0
1230317258,1527,1701,0,0
1230319258,1531,1693,0,0
1230321258,1520,1705,0,0
1230323258,1517,1697,0,0
1230325258,1526,1705,0,0
1230327258,1517,1708,0,0
1230329258,1525,1705,0,0
1230331258,1523,1704,0,0
1230333258,1523,1697,0,0
1230335258,1525,1705,0,0
1230337258,1524,1706,0,0
1230339258,1520,1707,0,0
1230341258,1515,1704,0,0
1230343258,1525,1705,0,0
1230345258,1529,1704,0,0
1230347258,1525,1699,0,0
1230349258,1521,1707,0,0
1230351258,1527,1705,0,0
1230353258,1521,1704,0,0
1230355258,1519,1705,0,0
1230357258,1523,1709,0,0
1230359258,1524,1704,0,0
1230361258,1527,1709,0,0
1230363258,1520,1697,0,0
1230365258,1520,1703,0,0
1230367258,1525,1709,0,0
1230369258,1521,1706,0,0
1230371258,1520,1712,0,0
1230373258,1529,1704,0,0
1230375258,1527,1708,0,0
1230377258,1517,1707,0,0
1230379258,1525,1705,0,0
1230381258,1532,1703,0,0
1230383258,1524,1703,0,0
1230385258,1528,1705,0,0
1230387258,1528,1705,0,0
1230389258,1518,1709,0,0
1230391258,1521,1707,0,0
1230393258,1532,1701,0,0
1230395258,1517,1702,0,0
1230397258,1525,1700,0,0
1230399258,1520,1713,0,0
1230401258,1525,1704,0,0
1230403258,1526,1703,0,0
1230405258,1524,1705,0,0
1230407258,1528,1704,0,0
1230409258,1524,1701,0,0
1230411258,1512,1707,0,0
1230413258,1526,1709,0,0
1230415258,1525,1709,0,0
1230417258,1520,1706,0,0
1230419258,1519,1712,0,0
1230421258,1526,1706,0,0
1230423258,1518,1704,0,0
1230425258,1526,1701,0,0
1230427258,1523,1710,0,0
1230429258,1523,1704,0,0
1230431258,1520,1703,0,0
1230433258,1529,1705,0,0
1230435258,1524,1704,0,0
1230437258,1522,1704,0,0
1230439258,1525,1707,0,0
1230441258,1525,1709,0,0
1230443258,1526,1712,0,0
1230445258,1524,1708,0,0
1230447258,1522,1706,0,0
1230449258,1526,1702,0,0
1230451258,1527,1704,0,0
1230453258,1524,1707,0,0
1230455258,1520,1702,0,0
1230457258,1529,1701,0,0
1230459258,1524,1700,0,0
1230461258,1521,1702,0,0
1230463258,1520,1709,0,0
1230465258,1518,1709,0,0
1230467258,1524,1701,0,0
1230469258,1525,1713,0,0
1230471258,1528,1706,0,0
1230473258,1523,1707,0,0
1230475258,1527,1706,0,0
1230477258,1521,1699,0,0
1230479258,1526,1701,0,0
1230481258,1529,1701,0,0
1230483258,1528,1705,0,0
1230485258,1518,1704,0,0
1230487258,1518,1710,0,0
1230489258,1526,1701,0,0
1230491258,1516,1697,0,0
1230493258,1524,1704,0,0
1230495258,1525,1700,0,0
1230497258,1524,1696,0,0
1230499258,1521,1709,0,0
1230501258,1525,1710,0,0
1230503258,1521,1715,0,0
1230505258,1526,1701,0,0
1230507258,1528,1699,0,0
1230509258,1526,1704,0,0
1230511258,1520,1710,0,0
1230513258,1525,1705,0,0
1230515258,1521,1697,0,0
1230517258,1522,1705,0,0
1230519258,1523,1704,0,0
1230521258,1533,1707,0,0
1230523258,1525,1705,0,0
1230525258,1527,1704,0,0
1230527258,1525,1697,0,0
1230529258,1523,1706,0,0
1230531258,1520,1709,0,0
1230533258,1518,1705,0,0
1230535258,1523,1706,0,0
1230537258,1531,1705,0,0
1230539258,1525,1696,0,0
1230541258,1521,1707,0,0
1230543258,1531,1704,0,0
1230545258,1515,1705,0,0
1230547258,1525,1696,0,0
1230549258,1522,1704,0,0
1230551258,1528,1704,0,0
1230553258,1520,1702,0,0
1230555258,1525,1705,0,0
1230557258,1525,1704,0,0
1230559258,1526,1701,0,0
1230561258,1524,1709,0,0
1230563258,1524,1703,0,0
1230565258,1526,1696,0,0
1230567258,1523,1706,0,0
1230569258,1525,1703,0,0
1230571258,1525,1707,0,0
1230573258,1526,1702,0,0
1230575258,1520,1706,0,0
1230577258,1524,1705,0,0
1230579258,1527,1692,0,0
1230581258,1521,1707,0,0
1230583258,1521,1697,0,0
1230585258,1518,1701,0,0
1230587258,1523,1704,0,0
1230589258,1517,1705,0,0
1230591258,1525,1704,0,0
1230593258,1517,1702,0,0
1230595258,1525,1705,0,0
1230597258,1524,1713,0,0
1230599258,1523,1707,0,0
1230601258,1527,1703,0,0
1230603258,1524,1705,0,0
1230605258,1528,1703,0,0
1230607258,1523,1709,0,0
1230609258,1521,1705,0,0
1230611258,1526,1701,0,0
1230613258,1525,1707,0,0
1230615258,1527,1702,0,0
1230617258,1515,1709,0,0
1230619258,1518,1700,0,0
1230621258,1524,1701,0,0
1230623258,1518,1710,0,0
1230625258,1529,1710,0,0
1230627258,1516,1707,0,0
1230629258,1520,1713,0,0
1230631258,1524,1697,0,0
1230633258,1524,1705,0,0
1230635258,1524,1704,0,0
1230637258,1528,1706,0,0
1230639258,1517,1705,0,0
1230641258,1515,1713,0,0
1230643258,1528,1703,0,0
1230645258,1524,1709,0,0
1230647258,1525,1710,0,0
1230649258,1520,1705,0,0
1230651258,1517,1702,0,0
1230653258,1528,1694,0,0
1230655258,1520,1705,0,0
1230657258,1526,1702,0,0
1230659258,1525,1705,0,0
1230661258,1524,1706,0,0
1230663258,1523,1697,0,0
1230665258,1518,1706,0,0
1230667258,1525,1702,0,0
1230669258,1524,1693,0,0
1230671258,1530,1704,0,0
1230673258,1527,1697,0,0
1230675258,1524,1703,0,0
1230677258,1524,1699,0,0
1230679258,1524,1699,0,0
1230681258,1524,1703,0,0
1230683258,1521,1707,0,0
1230685258,1526,1705,0,0
1230687258,1524,1708,0,0
1230689258,1520,1701,0,0
1230691258,1526,1700,0,0
1230693258,1526,1707,0,0
1230695258,1524,1704,0,0
1230697258,1524,1693,0,0
1230699258,1524,1702,0,0
1230701258,1530,1709,0,0
1230703258,1536,1705,0,0
1230705258,1525,1705,0,0
1230707258,1524,1699,0,0
1230709258,1515,1706,0,0
1230711258,1520,1702,0,0
1230713258,1520,1708,0,0
1230715258,1526,1706,0,0
1230717258,1522,1706,0,0
1230719258,1516,1708,0,0
1230721258,1524,1705,0,0
1230723258,1528,1705,0,0
1230725258,1521,1702,0,0
1230727258,1523,1704,0,0
1230729258,1523,1707,0,0
1230731258,1525,1703,0,0
1230733258,1523,1701,0,0
1230735258,1524,1705,0,0
1230737258,1525,1709,0,0
1230739258,1525,1713,0,0
1230741258,1524,1704,0,0
1230743258,1530,1704,0,0
1230745258,1523,1701,0,0
1230747258,1523,1701,0,0
1230749258,1528,1704,0,0
1230751258,1531,1696,0,0
1230753258,1524,1701,0,0
1230755258,1526,1697,0,0
1230757258,1523,1707,0,0
1230759258,1516,1705,0,0
1230761258,1527,1707,0,0
1230763258,1527,1701,0,0
1230765258,1524,1705,0,0
1230767258,1525,1708,0,0
1230769258,1520,1704,0,0
1230771258,1518,1709,0,0
1230773258,1522,1705,0,0
1230775258,1517,1709,0,0
1230777258,1528,1701,0,0
1230779258,1527,1701,0,0
1230781258,1525,1694,0,0
1230783258,1521,1700,0,0
1230785258,1528,1705,0,0
1230787258,1524,1704,0,0
1230789258,1518,1706,0,0
1230791258,1521,1703,0,0
1230793258,1530,1706,0,0
1230795258,1524,1703,0,0
1230797258,1524,1703,0,0
1230799258,1520,1707,0,0
1230801258,1530,1705,0,0
1230803258,1528,1701,0,0
1230805258,1525,1704,0,0
1230807258,1520,1704,0,0
1230809258,1523,1704,0,0
1230811258,1523,1705,0,0
1230813258,1523,1705,0,0
1230815258,1526,1704,0,0
1230817258,1526,1702,0,0
1230819258,1528,1703,0,0
1230821258,1526,1701,0,0
1230823258,1517,1708,0,0
1230825258,1521,1703,0,0
1230827258,1528,1709,0,0
1230829258,1524,1702,0,0
1230831258,1528,1703,0,0
1230833258,1523,1702,0,0
1230835258,1524,1701,0,0
1230837258,1526,1705,0,0
1230839258,1520,1708,0,0
1230841258,1525,1704,0,0
1230843258,1525,1702,0,0
1230845258,1524,1705,0,0
1230847258,1523,1701,0,0
1230849258,1516,1704,0,0
1230851258,1524,1705,0,0
1230853258,1527,1703,0,0
1230855258,1514,1703,0,0
1230857258,1525,1697,0,0
1230859258,1516,1705,0,0
1230861258,1525,1704,0,0
1230863258,1524,1701,0,0
1230865258,1523,1702,0,0
1230867258,1518,1705,0,0
1230869258,1516,1704,0,0
1230871258,1518,1710,0,0
1230873258,1526,1705,0,0
1230875258,1521,1705,0,0
1230877258,1517,1703,0,0
1230879258,1525,1696,0,0
1230881258,1516,1694,0,0
1230883258,1525,1701,0,0
1230885258,1523,1711,0,0
1230887258,1522,1706,0,0
1230889258,1522,1703,0,0
1230891258,1525,1702,0,0
1230893258,1532,1709,0,0
1230895258,1525,1713,0,0
1230897258,1520,1706,0,0
1230899258,1527,1700,0,0
1230901258,1527,1709,0,0
1230903258,1516,1701,0,0
1230905258,1527,1705,0,0
1230907258,1521,1703,0,0
1230909258,1520,1708,0,0
1230911258,1515,1701,0,0
1230913258,1523,1712,0,0
1230915258,1524,1700,0,0
1230917258,1524,1709,0,0
1230919258,1523,1710,0,0
1230921258,1528,1697,0,0
1230923258,1520,1704,0,0
1230925258,1528,1713,0,0
1230927258,1523,1709,0,0
1230929258,1523,1713,0,0
1230931258,1528,1710,0,0
1230933258,1524,1701,0,0
1230935258,1525,1707,0,0
1230937258,1516,1702,0,0
1230939258,1521,1701,0,0
1230941258,1520,1702,0,0
1230943258,1516,1701,0,0
1230945258,1528,1705,0,0
1230947258,1524,1705,0,0
1230949258,1524,1705,0,0
1230951258,1524,1710,0,0
1230953258,1524,1706,0,0
1230955258,1525,1706,0,0
1230957258,1524,1697,0,0
1230959258,1514,1705,0,0
