T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
1236473258,1494,1703,0,0,10.772107075,4550.713184476,1,4.166666667,,
1236475258,1490,1702,0,0,10.768907624,4552.71291866,1,4.166666667,,
1236477258,1487,1697,0,0,10.766581717,4554.712652844,1,4.166666667,,
1236479258,1491,1708,0,0,10.766581717,4556.712387028,1,4.166666667,,
1236481258,1492,1707,0,0,10.766581717,4558.712121212,1,4.166666667,,
1236483258,1488,1705,0,0,10.766581717,4560.711855396,1,4.166666667,,
1236485258,1488,1703,0,0,10.766581717,4562.71158958,1,4.166666667,,
1236487258,1484,1703,0,0,10.766581717,4564.711323764,1,4.166666667,,
1236489258,1495,1706,0,0,10.766580252,4566.711057948,1,4.166666667,,
1236491258,1496,1702,0,0,10.766514236,4568.710792132,1,4.166666667,,
1236493258,1496,1705,0,0,10.76644822,4570.710526316,1,4.166666667,,
1236495258,1497,1704,0,0,10.764966968,4572.7102605,1,4.166666667,,
1236497258,1504,1701,0,0,10.763393116,4574.709994684,1,4.166666667,,
1236499258,1488,1701,0,0,10.761242986,4576.709728868,1,4.166666667,,
1236501258,1491,1701,0,0,10.758995108,4578.709463052,1,4.166666667,,
1236503258,1497,1701,0,0,10.751550942,4580.709197236,1,4.166666667,,
1236505258,1494,1705,0,0,10.742566605,4582.708931419,1,4.166666667,,
1236507258,1487,1705,0,0,10.745940359,4584.708665603,1,4.166666667,,
1236509258,1491,1709,0,0,10.754924696,4586.708399787,1,4.166666667,,
1236511258,1492,1702,0,0,10.755548259,4588.708133971,1,4.166666667,,
1236513258,1487,1704,0,0,10.750693629,4590.707868155,1,4.166666667,,
1236515258,1497,1701,0,0,10.746410902,4592.707602339,1,4.166666667,,
1236517258,1488,1705,0,0,10.742654951,4594.707336523,1,4.166666667,,
1236519258,1492,1703,0,0,10.740540076,4596.707070707,1,4.166666667,,
1236521258,1494,1705,0,0,10.740540076,4598.706804891,1,4.166666667,,
1236523258,1487,1709,0,0,10.740540076,4600.706539075,1,4.166666667,,
1236525258,1492,1705,0,0,10.740540076,4602.706273259,1,4.166666667,,
1236527258,1493,1705,0,0,10.741360126,4604.706007443,1,4.166666667,,
1236529258,1496,1705,0,0,10.744400657,4606.705741627,1,4.166666667,,
1236531258,1492,1705,0,0,10.747008495,4608.705475811,1,4.166666667,,
1236533258,1488,1702,0,0,10.747723914,4610.705209995,1,4.166666667,,
1236535258,1494,1697,0,0,10.748366013,4612.704944179,1,4.166666667,,
1236537258,1500,1694,0,0,10.748366013,4614.704678363,1,4.166666667,,
1236539258,1491,1704,0,0,10.748388005,4616.704412547,1,4.166666667,,
1236541258,1500,1709,0,0,10.749553116,4618.70414673,1,4.166666667,,
1236543258,1491,1697,0,0,10.750718228,4620.703880914,1,4.166666667,,
1236545258,1496,1696,0,0,10.760382905,4622.703615098,1,4.166666667,,
1236547258,1495,1704,0,0,10.770635884,4624.703349282,1,4.166666667,,
1236549258,1498,1704,0,0,10.772156863,4626.703083466,1,4.166666667,,
